,index,Year,Month,total,maxinaday,Norainday
734,134,1973,3,11.1,3.6,7
735,135,1973,4,48.1,11.1,17
736,136,1973,5,70.9,13.0,19
737,137,1973,6,20.2,7.4,7
738,138,1973,7,72.8,30.7,11
739,139,1973,8,108.9,18.4,19
740,140,1973,9,76.2,15.3,14
741,141,1973,10,59.2,22.7,13
742,142,1973,11,60.8,14.7,15
743,143,1973,12,72.7,18.7,22
744,144,1974,1,81.4,12.0,24
745,145,1974,2,50.9,8.4,17
746,146,1974,3,31.7,11.4,14
747,147,1974,4,43.4,20.9,6
748,148,1974,5,87.6,19.9,16
749,149,1974,6,39.5,8.3,10
750,150,1974,7,99.7,18.7,19
751,151,1974,8,30.2,5.2,17
752,152,1974,9,116.0,34.8,21
753,153,1974,10,26.6,6.8,16
754,154,1974,11,57.7,20.4,16
755,155,1974,12,37.9,6.8,18
756,156,1975,1,82.6,21.2,21
757,157,1975,2,26.2,11.6,9
758,158,1975,3,43.3,8.3,17
759,159,1975,4,42.8,8.2,20
760,160,1975,5,43.4,14.4,8
761,161,1975,6,14.9,8.8,7
762,162,1975,7,27.8,7.6,13
763,163,1975,8,35.9,14.1,12
764,164,1975,9,124.3,40.9,22
765,165,1975,10,55.1,24.2,11
766,166,1975,11,54.3,18.7,10
767,167,1975,12,33.1,16.1,14
768,168,1976,1,66.1,16.4,17
769,169,1976,2,29.3,9.1,11
770,170,1976,3,65.8,14.7,17
771,171,1976,4,17.7,10.4,5
772,172,1976,5,47.7,9.8,20
773,173,1976,6,22.5,9.7,12
774,174,1976,7,82.8,19.5,11
775,175,1976,8,6.6,4.2,2
776,176,1976,9,144.3,34.5,14
777,177,1976,10,156.7,31.0,24
778,178,1976,11,39.1,13.1,14
779,179,1976,12,48.0,8.0,17
780,180,1977,1,57.8,10.5,17
781,181,1977,2,124.4,18.6,23
782,182,1977,3,57.3,9.2,20
783,183,1977,4,43.4,5.3,24
784,184,1977,5,22.5,6.6,8
785,185,1977,6,65.5,19.6,14
786,186,1977,7,26.1,12.2,12
787,187,1977,8,68.1,28.9,14
788,188,1977,9,29.2,6.8,13
789,189,1977,10,76.5,19.5,16
790,190,1977,11,53.8,8.6,19
791,191,1977,12,65.1,12.8,20
792,192,1978,1,59.4,11.3,14
793,193,1978,2,50.3,11.7,14
794,194,1978,3,63.0,12.3,22
795,195,1978,4,29.6,7.0,12
796,196,1978,5,27.3,14.0,11
797,197,1978,6,37.1,12.4,12
798,198,1978,7,50.5,14.2,14
799,199,1978,8,116.7,30.3,14
800,200,1978,9,38.4,7.4,14
801,201,1978,10,31.8,15.4,11
802,202,1978,11,64.1,10.4,16
803,203,1978,12,217.0,24.6,22
804,204,1979,1,42.3,6.9,17
805,205,1979,2,83.4,31.3,10
806,206,1979,3,63.7,16.5,22
807,207,1979,4,53.1,10.5,22
808,208,1979,5,82.2,10.5,22
809,209,1979,6,44.0,15.3,9
810,210,1979,7,47.0,22.2,8
811,211,1979,8,96.5,19.3,23
812,212,1979,9,41.5,13.4,14
813,213,1979,10,119.0,25.4,24
814,214,1979,11,51.4,9.9,12
815,215,1979,12,112.4,20.8,20
816,216,1980,1,115.2,30.3,16
817,217,1980,2,68.5,12.8,17
818,218,1980,3,73.7,20.3,22
819,219,1980,4,8.2,6.6,5
820,220,1980,5,41.0,12.1,11
821,221,1980,6,79.0,13.5,24
822,222,1980,7,39.4,10.3,14
823,223,1980,8,97.8,29.4,18
824,224,1980,9,97.5,35.4,18
825,225,1980,10,113.7,19.5,22
826,226,1980,11,41.4,9.3,14
827,227,1980,12,49.7,11.4,19
828,228,1981,1,32.8,8.1,13
829,229,1981,2,48.4,11.9,14
830,230,1981,3,101.6,20.0,24
831,231,1981,4,49.0,26.2,10
832,232,1981,5,92.3,9.4,24
833,233,1981,6,77.1,21.9,16
834,234,1981,7,35.5,10.8,15
835,235,1981,8,11.6,6.2,9
836,236,1981,9,102.8,22.3,18
837,237,1981,10,109.3,33.4,23
838,238,1981,11,48.8,19.5,16
839,239,1981,12,133.0,29.7,19
840,240,1982,1,50.2,18.1,14
841,241,1982,2,23.9,3.4,16
842,242,1982,3,45.4,5.8,18
843,243,1982,4,19.5,6.8,4
844,244,1982,5,59.6,10.0,18
845,245,1982,6,102.2,27.5,15
846,246,1982,7,9.2,2.5,10
847,247,1982,8,65.6,16.4,19
848,248,1982,9,84.0,19.4,17
849,249,1982,10,88.2,18.1,21
850,250,1982,11,128.9,55.1,23
851,251,1982,12,70.3,14.0,17
852,252,1983,1,63.8,13.5,21
853,253,1983,2,44.8,8.3,16
854,254,1983,3,61.0,8.0,19
855,255,1983,4,67.1,15.7,18
856,256,1983,5,79.1,30.0,16
857,257,1983,6,54.6,13.6,12
858,258,1983,7,18.1,5.8,9
859,259,1983,8,45.4,15.9,11
860,260,1983,9,76.6,14.6,17
861,261,1983,10,47.3,9.9,16
862,262,1983,11,21.3,5.6,7
863,263,1983,12,123.2,24.5,18
864,264,1984,1,99.0,12.7,24
865,265,1984,2,60.3,13.9,14
866,266,1984,3,53.2,24.4,14
867,267,1984,4,32.6,12.4,8
868,268,1984,5,34.4,7.9,12
869,269,1984,6,38.1,10.1,10
870,270,1984,7,30.8,10.8,9
871,271,1984,8,95.0,26.4,13
872,272,1984,9,76.7,22.8,17
873,273,1984,10,56.2,15.2,17
874,274,1984,11,97.2,19.6,18
875,275,1984,12,87.7,27.9,19
876,276,1985,1,66.5,23.3,19
877,277,1985,2,52.0,15.1,9
878,278,1985,3,72.5,19.3,14
879,279,1985,4,40.2,10.0,14
880,280,1985,5,70.1,22.5,14
881,281,1985,6,78.5,20.2,17
882,282,1985,7,107.2,26.1,17
883,283,1985,8,124.6,24.5,27
884,284,1985,9,38.2,11.3,18
885,285,1985,10,19.7,6.2,7
886,286,1985,11,33.5,6.8,16
887,287,1985,12,72.4,14.2,18
888,288,1986,1,103.4,25.1,25
889,289,1986,2,10.2,3.6,8
890,290,1986,3,64.7,18.3,21
891,291,1986,4,48.2,7.1,16
892,292,1986,5,62.5,12.0,21
893,293,1986,6,82.1,18.2,16
894,294,1986,7,57.5,9.2,24
895,295,1986,8,158.7,60.2,15
896,296,1986,9,3.6,2.5,3
897,297,1986,10,57.0,26.6,16
898,298,1986,11,102.2,20.7,21
899,299,1986,12,71.8,20.6,22
900,300,1987,1,36.6,8.2,12
901,301,1987,2,34.5,10.2,12
902,302,1987,3,56.6,9.6,18
903,303,1987,4,71.8,23.3,14
904,304,1987,5,21.7,5.1,14
905,305,1987,6,112.5,18.9,23
906,306,1987,7,32.6,16.1,11
907,307,1987,8,87.4,20.2,16
908,308,1987,9,75.3,20.7,18
909,309,1987,10,124.1,47.5,23
910,310,1987,11,47.8,15.5,12
911,311,1987,12,39.5,9.9,15
912,312,1988,1,118.3,19.0,25
913,313,1988,2,34.3,8.3,16
914,314,1988,3,85.4,12.0,23
915,315,1988,4,24.9,5.9,11
916,316,1988,5,72.5,17.9,17
917,317,1988,6,38.1,9.9,9
918,318,1988,7,80.3,28.9,24
919,319,1988,8,54.5,17.3,19
920,320,1988,9,41.1,11.2,13
921,321,1988,10,79.1,24.1,17
922,322,1988,11,23.5,6.8,12
923,323,1988,12,40.5,8.7,9
924,324,1989,1,27.5,6.8,12
925,325,1989,2,42.6,7.4,15
926,326,1989,3,54.7,8.8,23
927,327,1989,4,79.3,13.5,18
928,328,1989,5,13.1,3.1,7
929,329,1989,6,67.8,18.7,14
930,330,1989,7,9.6,2.7,8
931,331,1989,8,81.9,22.6,16
932,332,1989,9,25.1,13.3,10
933,333,1989,10,62.1,16.3,20
934,334,1989,11,35.6,15.7,16
935,335,1989,12,55.9,18.5,13
936,336,1990,1,68.3,13.4,21
937,337,1990,2,108.8,17.9,19
938,338,1990,3,10.3,4.3,8
939,339,1990,4,24.2,4.7,15
940,340,1990,5,39.5,12.4,10
941,341,1990,6,71.3,15.0,17
942,342,1990,7,48.0,32.0,11
943,343,1990,8,49.8,15.9,12
944,344,1990,9,16.4,3.6,10
945,345,1990,10,149.2,45.6,20
946,346,1990,11,64.0,13.6,14
947,347,1990,12,78.7,13.2,15
948,348,1991,1,71.4,24.6,16
949,349,1991,2,59.0,14.4,18
950,350,1991,3,91.1,16.8,15
951,351,1991,4,92.3,20.0,18
952,352,1991,5,3.6,1.7,3
953,353,1991,6,79.8,21.4,22
954,354,1991,7,26.4,6.6,17
955,355,1991,8,36.9,10.9,13
956,356,1991,9,42.8,14.3,11
957,357,1991,10,85.6,17.3,19
958,358,1991,11,50.3,7.8,16
959,359,1991,12,38.1,9.1,11
960,360,1992,1,32.9,14.6,5
961,361,1992,2,24.1,8.0,13
962,362,1992,3,64.9,10.1,23
963,363,1992,4,70.3,11.6,22
964,364,1992,5,39.5,12.2,9
965,365,1992,6,38.4,23.8,7
966,366,1992,7,69.0,22.8,19
967,367,1992,8,85.2,26.4,17
968,368,1992,9,64.2,14.4,19
969,369,1992,10,30.7,12.3,14
970,370,1992,11,63.2,14.5,22
971,371,1992,12,41.5,9.7,13
972,372,1993,1,57.9,9.0,24
973,373,1993,2,19.5,8.9,7
974,374,1993,3,26.2,7.2,15
975,375,1993,4,48.7,9.1,19
976,376,1993,5,149.9,45.7,21
977,377,1993,6,148.1,82.3,15
978,378,1993,7,60.1,11.9,22
979,379,1993,8,36.8,8.4,14
980,380,1993,9,90.3,17.8,16
981,381,1993,10,86.2,31.8,10
982,382,1993,11,45.4,13.6,15
983,383,1993,12,105.7,12.3,27
984,384,1994,1,83.3,9.8,24
985,385,1994,2,99.1,20.4,19
986,386,1994,3,72.1,13.4,25
987,387,1994,4,60.3,8.2,17
988,388,1994,5,51.5,17.6,15
989,389,1994,6,20.9,5.4,13
990,390,1994,7,64.7,11.7,18
991,391,1994,8,57.8,13.7,18
992,392,1994,9,97.0,21.1,21
993,393,1994,10,41.2,9.6,14
994,394,1994,11,54.8,11.4,16
995,395,1994,12,88.9,21.8,22
996,396,1995,1,105.5,27.3,18
997,397,1995,2,92.0,13.9,22
998,398,1995,3,44.7,8.6,20
999,399,1995,4,27.3,12.1,9
1000,400,1995,5,49.2,10.7,16
1001,401,1995,6,11.6,5.7,7
1002,402,1995,7,70.2,39.1,16
1003,403,1995,8,7.2,5.3,4
1004,404,1995,9,43.6,6.5,16
1005,405,1995,10,38.0,6.9,16
1006,406,1995,11,147.2,38.5,19
1007,407,1995,12,71.2,14.2,17
1008,408,1996,1,85.9,13.1,23
1009,409,1996,2,62.0,20.0,14
1010,410,1996,3,69.9,17.4,19
1011,411,1996,4,60.8,10.1,16
1012,412,1996,5,66.7,14.0,19
1013,413,1996,6,20.7,5.3,9
1014,414,1996,7,37.2,11.7,15
1015,415,1996,8,102.1,34.7,16
1016,416,1996,9,19.2,11.4,10
1017,417,1996,10,101.7,23.4,22
1018,418,1996,11,103.6,23.5,23
1019,419,1996,12,54.1,20.8,14
1020,420,1997,1,15.5,4.2,9
1021,421,1997,2,60.1,9.2,24
1022,422,1997,3,15.1,4.0,10
1023,423,1997,4,48.3,23.6,8
1024,424,1997,5,61.3,16.6,14
1025,425,1997,6,125.2,30.1,14
1026,426,1997,7,53.5,7.9,17
1027,427,1997,8,80.9,11.9,22
1028,428,1997,9,19.1,4.5,15
1029,429,1997,10,67.6,13.8,12
1030,430,1997,11,86.8,17.0,22
1031,431,1997,12,90.4,24.8,17
1032,432,1998,1,79.5,16.6,20
1033,433,1998,2,14.1,3.8,13
1034,434,1998,3,65.7,12.2,17
1035,435,1998,4,115.0,26.2,26
1036,436,1998,5,29.0,5.6,13
1037,437,1998,6,111.0,21.4,24
1038,438,1998,7,54.0,8.6,22
1039,439,1998,8,45.0,8.1,15
1040,440,1998,9,95.7,22.4,21
1041,441,1998,10,75.3,14.3,23
1042,442,1998,11,76.1,16.6,22
1043,443,1998,12,70.3,11.5,23
1044,444,1999,1,71.8,15.0,21
1045,445,1999,2,36.5,7.1,16
1046,446,1999,3,31.8,8.6,13
1047,447,1999,4,74.9,11.7,21
1048,448,1999,5,39.1,15.2,12
1049,449,1999,6,56.5,16.8,16
1050,450,1999,7,35.2,9.6,11
1051,451,1999,8,106.6,48.4,15
1052,452,1999,9,104.7,19.9,20
1053,453,1999,10,29.5,8.3,13
1054,454,1999,11,43.2,10.5,13
1055,455,1999,12,82.3,14.2,21
1056,456,2000,1,40.5,14.3,15
1057,457,2000,2,45.3,4.9,23
1058,458,2000,3,20.7,7.0,13
1059,459,2000,4,89.3,17.8,19
1060,460,2000,5,50.6,12.9,18
1061,461,2000,6,34.7,6.8,16
1062,462,2000,7,43.6,14.3,11
1063,463,2000,8,62.7,11.8,19
1064,464,2000,9,99.3,22.0,22
1065,465,2000,10,86.7,11.9,23
1066,466,2000,11,141.2,62.7,25
1067,467,2000,12,125.6,42.3,23
1068,468,2001,1,32.2,5.4,16
1069,469,2001,2,48.8,10.5,17
1070,470,2001,3,56.1,11.1,18
1071,471,2001,4,77.5,13.9,22
1072,472,2001,5,49.5,18.0,12
1073,473,2001,6,41.4,12.9,13
1074,474,2001,7,30.4,7.8,13
1075,475,2001,8,97.1,20.1,21
1076,476,2001,9,41.4,13.0,15
1077,477,2001,10,90.3,33.3,22
1078,478,2001,11,40.7,10.4,19
1079,479,2001,12,21.6,6.7,12
1080,480,2002,1,48.9,7.1,18
1081,481,2002,2,125.1,17.8,22
1082,482,2002,3,30.4,8.2,14
1083,483,2002,4,81.5,20.6,18
1084,484,2002,5,120.8,42.1,20
1085,485,2002,6,82.1,14.8,20
1086,486,2002,7,68.0,12.8,16
1087,487,2002,8,50.2,10.6,18
1088,488,2002,9,22.8,7.4,8
1089,489,2002,10,180.6,53.1,20
1090,490,2002,11,186.3,50.7,25
1091,491,2002,12,105.0,17.9,23
1092,492,2003,1,53.9,10.8,17
1093,493,2003,2,21.1,5.0,13
1094,494,2003,3,30.3,12.4,11
1095,495,2003,4,34.0,17.3,12
1096,496,2003,5,96.5,19.3,22
1097,497,2003,6,88.4,23.9,15
1098,498,2003,7,46.0,12.5,19
1099,499,2003,8,14.4,4.5,8
1100,500,2003,9,37.3,8.5,11
1101,501,2003,10,106.3,31.3,13
1102,502,2003,11,54.8,13.8,13
1103,503,2003,12,60.2,18.0,16
1104,504,2004,1,82.6,14.5,22
1105,505,2004,2,19.7,6.1,9
1106,506,2004,3,44.4,8.4,17
1107,507,2004,4,31.2,4.8,18
1108,508,2004,5,49.8,14.2,9
1109,509,2004,6,50.1,23.0,18
1110,510,2004,7,37.9,7.1,18
1111,511,2004,8,133.8,22.4,18
1112,512,2004,9,98.3,18.8,16
1113,513,2004,10,120.0,22.8,23
1114,514,2004,11,39.8,13.0,16
1115,515,2004,12,44.8,9.0,22
1116,516,2005,1,63.6,25.2,20
1117,517,2005,2,40.6,10.8,16
1118,518,2005,3,14.4,2.6,13
1119,519,2005,4,57.0,2.5,14
1120,520,2005,5,69.5,22.8,20
1121,521,2005,6,28.3,6.1,11
1122,522,2005,7,83.9,37.8,16
1123,523,2005,8,25.3,3.9,15
1124,524,2005,9,55.8,13.4,13
1125,525,2005,10,101.5,28.5,19
1126,526,2005,11,50.7,15.1,14
1127,527,2005,12,68.9,22.1,15
1128,528,2006,1,16.3,3.5,11
1129,529,2006,2,38.3,10.1,12
1130,530,2006,3,68.7,11.9,24
1131,531,2006,4,40.8,7.9,15
1132,532,2006,5,125.8,15.8,16
1133,533,2006,6,19.2,4.4,15
1134,534,2006,7,18.2,6.4,10
1135,535,2006,8,57.6,18.2,20
1136,536,2006,9,89.5,19.9,19
1137,537,2006,10,102.7,26.9,16
1138,538,2006,11,69.1,24.1,17
1139,539,2006,12,94.4,13.4,19
1140,540,2007,1,72.8,13.7,19
1141,541,2007,2,77.8,14.1,18
1142,542,2007,3,62.1,15.1,19
1143,543,2007,4,14.7,11.3,5
1144,544,2007,5,35.0,11.1,4
1145,545,2007,6,134.4,23.8,20
1146,546,2007,7,119.1,16.0,28
1147,547,2007,8,95.5,19.2,18
1148,548,2007,9,39.2,9.0,14
1149,549,2007,10,15.7,3.6,9
1150,550,2007,11,54.0,20.9,18
1151,551,2007,12,64.1,11.8,16
1152,552,2008,1,96.9,19.6,22
1153,553,2008,2,14.7,3.3,11
1154,554,2008,3,102.4,35.8,22
1155,555,2008,4,27.0,4.4,17
1156,556,2008,5,32.7,8.7,13
1157,557,2008,6,76.4,14.9,17
1158,558,2008,7,111.5,26.9,19
1159,559,2008,8,192.4,68.3,23
1160,560,2008,9,111.8,40.6,18
1161,561,2008,10,97.4,18.6,21
1162,562,2008,11,39.6,10.2,19
1163,563,2008,12,39.5,10.3,15
1164,564,2009,1,62.0,8.7,18
1165,565,2009,2,56.8,28.1,10
1166,566,2009,3,25.5,5.5,17
1167,567,2009,4,71.6,11.9,19
1168,568,2009,5,75.0,15.4,22
1169,569,2009,6,76.2,28.1,12
1170,570,2009,7,153.9,39.2,22
1171,571,2009,8,69.1,22.2,20
1172,572,2009,9,24.2,13.0,9
1173,573,2009,10,84.9,22.9,20
1174,574,2009,11,149.4,28.1,26
1175,575,2009,12,71.6,20.4,18
1176,576,2010,1,42.7,10.0,14
1177,577,2010,2,36.7,8.5,14
1178,578,2010,3,54.8,16.0,11
1179,579,2010,4,26.7,5.2,11
1180,580,2010,5,48.8,19.5,13
1181,581,2010,6,43.3,15.5,7
1182,582,2010,7,74.7,19.5,18
1183,583,2010,8,48.0,8.8,17
1184,584,2010,9,105.5,17.7,19
1185,585,2010,10,29.6,6.0,12
1186,586,2010,11,100.5,11.1,24
1187,587,2010,12,57.6,12.0,16
1188,588,2011,1,29.4,10.5,13
1189,589,2011,2,75.9,18.7,22
1190,590,2011,3,19.4,8.1,10
1191,591,2011,4,28.4,12.6,12
1192,592,2011,5,37.1,6.1,21
1193,593,2011,6,64.2,10.2,18
1194,594,2011,7,42.6,7.0,17
1195,595,2011,8,39.7,6.7,19
1196,596,2011,9,87.3,42.1,19
1197,597,2011,10,147.4,71.3,18
1198,598,2011,11,48.5,11.7,11
1199,599,2011,12,52.2,5.2,23
